llm,os,image_type,n_with,mean_with,median_with,std_with,n_without,mean_without,median_without,std_without,num_outliers
llm,debian,base,31,214.1493315766242,198.0794335989952,46.08869713211254,27,199.10361882460555,196.81276791548726,16.571569268573928,4
llm,debian,cpu-optimized,31,219.61095408096628,184.23622191023827,77.271117326409,26,191.43966137153367,178.7425042680502,27.702781071965557,5
llm,fedora,base,31,229.2359917310284,203.1064035317898,51.501963351893934,29,219.34444170807146,202.50808887290952,35.379262978855955,2
llm,fedora,cpu-optimized,31,203.5318020172657,183.55079399967192,63.74259602988772,27,183.70516923906183,183.2910516195297,8.259391842681321,4
llm,ubuntu,base,31,230.42223280026064,197.64935240149498,81.90800910692813,24,196.4486136914293,195.38003828263282,7.069554604878585,7
llm,ubuntu,cpu-optimized,31,224.15969316800175,184.0560708258152,112.20466496186395,26,189.45385341987242,182.71889205622674,21.357359876720007,5
nn,debian,base,30,561.7150177460512,456.62017689144614,215.83026422346995,23,460.007035928519,454.2407194662093,15.556846459797676,7
nn,debian,cpu-optimized,31,321.1939313697584,311.40755925965306,24.298591448579085,28,314.82899169164045,311.2043725140095,10.661551046490061,3
nn,fedora,base,31,532.4328316465846,465.4843198632002,184.8695994289886,26,464.31346766973905,458.1076744502783,13.317063485905114,5
nn,fedora,cpu-optimized,31,2024.2532443233997,311.7203274583817,9498.361286407555,27,314.0070409728068,311.4288068628311,8.18510744388683,4
nn,ubuntu,base,31,488.79339767633724,458.4259492740631,83.58771400911472,27,460.2286195119134,455.81950363397596,9.710797349780854,4
nn,ubuntu,cpu-optimized,31,1963.6090254148435,313.0229665222168,9210.877061292043,25,314.12524130813597,312.3954943447113,7.267366881732807,6
rf,debian,base,31,1046.3034064483716,1034.4719159767628,27.58669003448865,30,1043.5888735406318,1034.1570216399432,23.47256897042503,1
rf,debian,cpu-optimized,31,2134.5523376231645,1037.2466377871037,6008.738407910067,30,1055.3651330284913,1036.9995169602635,31.209337242238362,1
rf,fedora,base,31,1077.2807995009769,1062.564029149294,34.15608017164725,29,1071.4245207694357,1061.7017072794438,26.445242714778395,2
rf,fedora,cpu-optimized,31,3447.676927520409,1067.736175700426,13209.234717796291,27,1077.5646677950313,1067.736175700426,24.93926333110152,4
rf,ubuntu,base,31,1173.9537276925082,1118.4247976608276,230.46095526414723,30,1132.9815933043958,1118.276384282708,33.30210020434881,1
rf,ubuntu,cpu-optimized,31,1360.6451076535259,1121.550643213749,1221.6822480271458,30,1141.3250616039911,1121.4216299299003,37.61540271081998,1
